ID_SF,Spé_A,Spé_B,Spé_C,PT1Spé_A,PT1Spé_B,PT1Spé_C,PT1Anglais,PT2Spé_A,PT2Spé_B,PT2Spé_C,PT2Anglais,PT3Spé_A,PT3Spé_B,PT3Spé_C,PT3Anglais,PMoyenne,PSpé_A,PSpé_B,PMaths_Compl.,TT1Spé_A,TT1Spé_B,TT1Anglais,TT1Maths_Compl.,TT1Maths_Expertes,TT2Spé_A,TT2Spé_B,TT2Anglais,TT2Maths_Compl.,TT2Maths_Expertes,Tmoyenne,Ecrit_Français,Oral_Français,Moyenne_Bac_Français,Spé_abandonnée,Spé_abandonnée_note,Anglais1ère_Eval.,Anglais2ème_Eval.,Anglais3ème_Eval.,Moyenne_Bac,Bonus_Scientifique,Note_bac,complet_/_incomplet,Grand_Classé,Etape_de_jury,Précisions_Dossier,Note_Profil_Ecole,Vœux_EPITA,Vœux_ESME,Vœux_IPSA,Vœux_Sup'Biotech,Ecole_d'Oral,Campus_d'Oral,Jury_Advance,Méthode_de_travail,Autonomie,Engagement_citoyen,Capacité_à_s'investir,Niveau_de_la_classe,Avis_sur_la_capacité_à_réussir,Autres_éléments
0010800002swab3AAA,Mathématiques,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,14,10.96,11.25,7,,,,,,,,,11.056,Mathématiques,Physique-Chimie,Non,10,7.58,12,,9,10.7,8.59,11.5,,7.5,9.908,10,10,10,Sciences_de_la_vie_et_de_la_Terre,9,15,,,9.429,Oui,10.109,Complet,Non,Validé,manquait_la_note_S1_de_1ère_de_spé_C_(SVT):_j'ai_repris_la_note_du_DS_mentionné_dans_les_appréciations_(i_y_a_aussi_une_note_de_TP),0,Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon,Paris;_Toulouse,Paris;_Lyon,EPITA_/_IPSA,Toulouse,EPITA,Peu_démontrée,Peu_démontrée,Non,Peu_démontrée,Bon,Peu_démontrée,"Des_fragilités_qui_ont_perduré_tout_au_long_de_l'année_car_le_travail_manque_de_rigueur_et_d'approfondissement_,_l'investissement_n'a_pas_été_à_la_hauteur_des_enjeux_et_Célio_n'a_pas_été_réceptif_aux_conseils_de_l'équipe_pédagogique."
0010800002swattAAA,Mathématiques,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,8.2,6.6,10,6.8,7.9,10.6,6.4,8.5,,,,,8.157,Mathématiques,Physique-Chimie,Non,6.7,3,5.7,,,6,12.5,8.8,,,7.105,10,10,10,Sciences_de_la_vie_et_de_la_Terre,9,5.5,,,9.429,Oui,8.118,Complet,Non,Validé,,0,Paris,Paris,Paris,Paris,EPITA,Paris,Indifférencié,Peu_démontrée,Peu_démontrée,Oui,Peu_démontrée,Bon,Peu_démontrée,
0010800002swbPbAAI,Mathématiques,Numérique_et_Sciences_Informatiques,"Langues,_littératures_et_cultures_étrangères_et_régionales",6.33,11.33,7.24,8.5,5.57,10.86,5.53,8.5,,,,,7.948,Mathématiques,Numérique_et_Sciences_Informatiques,Non,4.5,11.94,8.25,,,7.5,9.68,9.3,,,8.506,8,8,8,"Langues,_littératures_et_cultures_étrangères_et_régionales",7,9.5,,,7.429,Oui,8.016,Complet,Non,Validé,,0,Lyon;_Toulouse,Lyon,Toulouse,Lyon,EPITA_/_ESME_/_IPSA_/_Sup'Biotech,Lyon,EPITA,Peu_démontrée,Assez_satisfaisante,Oui,Peu_démontrée,Bon,Assez_satisfaisante,
0010800002swc7JAAQ,Mathématiques,Physique-Chimie,Sciences_de_la_vie_et_de_la_Terre,5.9,9.58,11.11,10.22,4.9,9,9,14.25,,,,,9.046,Mathématiques,Physique-Chimie,Non,3.96,8,13.25,,,3.44,1.5,5.75,,,5.664,6,6,6,Sciences_de_la_vie_et_de_la_Terre,11,16.5,,,8.857,Oui,7.637,Complet,Non,Validé,Sa_spé_C_n'est_pas_SVT_mais_SI_(a_changé_au_début_du_T),0,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,ESME,Paris,Indifférencié,Peu_démontrée,Peu_démontrée,Oui,Peu_démontrée,Bon,Peu_démontrée,
0010800002swc5WAAQ,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,4,5,13,12,5,5,12,16,,,,,8.667,Mathématiques,Physique-Chimie,Non,6.8,7.1,13.47,,,2.88,5.5,12.21,,,7.553,8,8,8,Numérique_et_Sciences_Informatiques,13,20,,,10.857,Oui,8.878,Complet,Non,Validé,,1,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,Sup'Biotech,Paris,Indifférencié,Peu_démontrée,Peu_démontrée,Non,Peu_démontrée,Bon,Peu_démontrée,
0010800002swb0CAAQ,Mathématiques,Physique-Chimie,"Langues,_littératures_et_cultures_étrangères_et_régionales",15.8,8.8,16.8,17.6,16.8,9.3,19,16.7,,,,,14.963,Mathématiques,Physique-Chimie,Non,14.6,14.2,14.5,,14,10.7,9.5,17,,12,13.205,14,14,14,"Langues,_littératures_et_cultures_étrangères_et_régionales",18,18.5,,,16.286,Oui,14.657,Complet,Non,Validé,,2,Cycle_anglophone;_Paris,,Paris;_Cycle_anglophone,Cycle_anglophone;_Paris,ESME,Paris,Indifférencié,Peu_démontrée,Peu_démontrée,Non,Peu_démontrée,Bon,Assez_satisfaisante,Les_absences_répétées_de_l'élève_n'ont_pas_permis_d'évaluer_ses_compétences.
0010800002swb6YAAQ,Mathématiques,Physique-Chimie,Sciences_economiques_et_sociales,17.21,14.38,13.3,11.92,9.4,14.6,,13.33,,,,,13.512,Mathématiques,Physique-Chimie,Non,9.57,12.89,,,,15.45,12.81,12.83,,,12.704,13,13,13,Sciences_economiques_et_sociales,13.5,12,,,13.286,Oui,13.121,Complet,Non,Validé,,2,Paris;_Lyon,Paris;_Bordeaux;_Lyon,Paris,Paris;_Lyon,VisioConférence,VisioConférence,Indifférencié,Peu_démontrée,Peu_démontrée,Oui,Peu_démontrée,Très_bon,Peu_démontrée,
0010800002swcImAAI,Mathématiques,Physique-Chimie,Numérique_et_Sciences_Informatiques,11.88,16.72,16.14,12.78,10.32,14.74,13.25,13,,,,,13.651,Mathématiques,Physique-Chimie,Non,5.5,7.5,17,,8.5,5.5,7.5,17,,9.5,9.364,11,11,11,Numérique_et_Sciences_Informatiques,15,19,,,13.286,Oui,11.827,Complet,Non,Validé,A_remplacé_Langue_étr._en_spé_B_en_1ère_par_Phy_Ch_en_spé_B_en_Terminale,2,,Paris,Paris,Paris,IPSA,Paris,Indifférencié,Assez_satisfaisante,Assez_satisfaisante,Oui,Assez_satisfaisante,Assez_bon,Peu_démontrée,Ensemble_inégal.
0010800002swc3qAAA,Mathématiques,Sciences_de_la_vie_et_de_la_Terre,,12.5,11,13,5,12.5,8.5,11,5,,,,,10.133,Mathématiques,Sciences_de_la_vie_et_de_la_Terre,Non,16,12.5,6.5,,7,14.9,11.5,6.3,,10,11.727,8,13,9.667,,12,,,,11,Oui,11.031,Complet,Non,Validé,A_redoublé_sa_T_donc_1ère_S_(spé_C_SVT),2,Paris,Paris,Paris,Paris,EPITA,Paris,Indifférencié,Satisfaisante,Satisfaisante,Non,Assez_satisfaisante,Bon,Satisfaisante,
0010800002swc3mAAA,Mathématiques,Physique-Chimie,Sciences_economiques_et_sociales,12.5,6.5,7,5.5,10,10,11,6.5,,,,,8.8,Mathématiques,Physique-Chimie,Non,12,11,5.5,,,9,10,10,,,9.75,10,10,10,Sciences_economiques_et_sociales,9,6.5,,,9.429,Oui,9.369,Complet,Non,Validé,,2,Cycle_anglophone;_Paris;_Lyon;_Strasbourg;_Toulouse;_Rennes,Paris;_Bordeaux;_Lille;_Lyon;_Cycle_anglophone,Paris;_Toulouse;_Cycle_anglophone,Cycle_anglophone;_Paris;_Lyon,VisioConférence,VisioConférence,IPSA,Peu_démontrée,Assez_satisfaisante,Non,Assez_satisfaisante,Assez_bon,Satisfaisante,
